업체명,연락처,업종,업태,행정동,도로명 주소,위도,경도,데이터 기준일자
논스톱,054-246-4599,음숙,소주방,중앙동,"경상북도 포항시 북구 학전로 43,107동 101호(학산동,청운우방상가)",36.0566154,129.3741179,2019-08-07
아로치과의원,,보건,치과,중앙동,경상북도 포항시 북구 칠성로 32(남빈동),36.0361967,129.3653957,2019-08-07
피쉬텔,054-614-3355,숙박,모텔,중앙동,경상북도 포항시 북구 해안로 13(항구동),36.0522976,129.3740721,2019-08-07
우정칼국수,,음식,분식,중앙동,경상북도 포항시 북구 중앙상가5길 11(신흥동),36.0396534,129.3642385,2019-08-07
파리바게뜨 선린병원점,054-244-9200,음식,음식,중앙동,경상북도 포항시 북구 선착로 36(대신동),36.0485967,129.3674858,2019-08-07
숲 갤러리(SOUP GALLERY),054-246-0528,도소매,도소매,중앙동,경상북도 포항시 북구 중앙상가4길 22(상원동),36.0377121,129.3650273,2019-08-07
더미인,,소매업,잡화,중앙동,경상북도 포항시 북구 중앙상가3길 19-7(상원동),36.0374658,129.3645847,2019-08-07
비지트 인 뉴욕,054-255-5301,도소매,도소매,중앙동,경상북도 포항시 북구 중앙상가4길 22(상원동),36.0377121,129.3650273,2019-08-07
나미화헤어클럽,,서비스,미용실,송도동,경상북도 포항시 남구 송도로 26-2 (송도동),36.0334948,129.3738641,2019-08-07
옛촌막걸리,,음식점,한식,송도동,경상북도 포항시 남구 송도로 36(송도동),36.0333492,129.3748528,2019-08-07
행운노래연습장,054-241-0027,서비스,노래연습장,송도동,경상북도 포항시 남구 송림로 38(송도동),36.033096,129.375812,2019-08-07
송도오리마을,054-256-5292,음숙,한식,송도동,경상북도 포항시 남구 송림로22번길 3(송도동),36.0317739,129.3762861,2019-08-07
행운식당,054-273-4348,음식점,한식,송도동,경상북도 포항시 남구 운하로48번길 12(송도동),36.0289244,129.3763102,2019-08-07
광명설비공사,054-282-2457,건설업,설비,송도동,경상북도 포항시 남구 송림로123번길 8(송도동),36.0409395,129.3731428,2019-08-07
포스넷이사몰,054-249-8224,운수,이사화물운송,송도동,경상북도 포항시 남구 송림로 119(송도동),36.0404076,129.3737898,2019-08-07
소담,,음숙,한식,송도동,경상북도 포항시 남구 송림로22번길 2(송도동),36.0315652,129.3761282,2019-08-07
송도노래연습장,054-252-0515,서비스,노래연습장,송도동,"경상북도 포항시 남구 송도로 29, 2층(송도동)",36.0338125,129.3741488,2019-08-07
신흥분식,054-272-5665,음식,분식,송도동,경상북도 포항시 남구 송림로79번길 12(송도동),36.0367158,129.3735073,2019-08-07
태양이용,,서비스,이용,송도동,경상북도 포항시 남구 송림로 75(송도동),36.0364559,129.3746541,2019-08-07
스마일마트,054-244-1664,도소매,슈퍼,송도동,경상북도 포항시 남구 송림로 79-1(송도동),36.0368592,129.3745896,2019-08-07
영할인마트,,도소매,슈퍼,송도동,경상북도 포항시 남구 축항로 93(송도동),36.0301713,129.378568,2019-08-07
삼순이노래연습장,054-277-6555,서비스,노래연습장,송도동,경상북도 포항시 남구 송림로 32(송도동),36.0327036,129.3758785,2019-08-07
미래산업크리닝,,서비스,세탁,송도동,경상북도 포항시 남구 송림로21번길 16(송도동),36.0314382,129.3741095,2019-08-07
카모메,054-274-2294,도소매,음식료품,송도동,경상북도 포항시 남구 희망대로 1261(송도동),36.0414456,129.3766856,2019-08-07
비엔나오브비취,054-247-1029,음숙,한식,송도동,경상북도 포항시 남구 송도해안길 112-3(송도동),36.0403259,129.3769085,2019-08-07
송도복지할인마트,,도소매,슈퍼,송도동,경상북도 포항시 남구 송림로 89 (송도동),36.0376711,129.3744009,2019-08-07
충주참기름,054-274-1691,제조,참기름,송도동,경상북도 포항시 남구 운하로36번길 7(송도동),36.0282045,129.376312,2019-08-07
영일참기름방,,소매,참기름,송도동,경상북도 포항시 남구 운하로36번길 7(송도동),36.0282045,129.376312,2019-08-07
샘터,054-254-3359,소매,식품,송도동,경상북도 포항시 남구 송도해안길112번길 8(송도동),36.0408724,129.3766744,2019-08-07
해송정,054-286-6784,음숙,한식,송도동,경상북도 포항시 남구 송도해안길112번길 8(송도동),36.0408724,129.3766744,2019-08-07
신명식당,054-281-6766,음식점,음식,송도동,경상북도 포항시 남구 축항로 102 (송도동),36.0300361,129.3795212,2019-08-07
콜마트(송도점),,도소매,슈퍼,송도동,경상북도 포항시 남구 서동로145(송도동),36.0400321,129.3737592,2019-08-07
씨앗농부,054-293-6535,"제조,도소매","건강액화식품제조, 농축수산물",송도동,경상북도 포항시 남구 운하로 160(송도동),36.0377781,129.3718495,2019-08-07
(주)동해SK텔래콤,054-231-7011,"도소매,서비스",통신기기,송도동,경상북도 포항시 남구 송도로 31-2(송도동),36.0336982,129.3746167,2019-08-07
바보회식당,,음숙,일반음식,송도동,경상북도 포항시 남구 운하로36번길 7(송도동),36.0282045,129.376312,2019-08-07
Blue 25 포항송도점(블루 25),054-256-5954,도소매,"슈퍼,담배",송도동,"경상북도 포항시 남구 운하로 160, 1층 109호(송도동)",36.0377781,129.3718495,2019-08-07
목찬식당,054-243-4060,음숙,한식,송도동,경상북도 포항시 남구 송도해안길 112-10(송도동),36.0405238,129.3772084,2019-08-07
소주에풍덩,,음숙,주점,송도동,"경상북도 포항시 남구 송림로 31, 1층(송도동)",36.032634,129.3754836,2019-08-07
의료법인경진의료재단,054-250-2500,보건,요양병원,송도동,경상북도 포항시 남구 송도로 62(송도동),36.033207,129.3776986,2019-08-07
서울연합의원,054-277-2185,의료,일반의원,송도동,경상북도 포항시 남구 송림로 27(송도동),36.0322285,129.3755641,2019-08-07
의료법인 청암의료재단(포항송도요양병원),054-240-2000,보건,보건,송도동,경상북도 포항시 남구 송도로 60(송도동),36.0331831,129.3775541,2019-08-07
송도치과의원,054-249-8275,보건,치과,송도동,경상북도 포항시 남구 송도로 41(송도동),36.0336165,129.3756377,2019-08-07
송림한의원,054-272-0658,보건,한의원,송도동,경상북도 포항시 남구 송림로 19(송도동),36.0313837,129.3757277,2019-08-07
온누리신그린약국,054-244-2009,소매,"양약,의료기기판매",송도동,경상북도 포항시 남구 송림로 36-1(송도동),36.0329969,129.3758243,2019-08-07
신의내과의원,054-274-1212,보건,내과,송도동,"경상북도 포항시 남구 축항로 74, 2층(송도동)",36.0295908,129.3764114,2019-08-07
수라상,054-275-1470,음식점,일반음식점,송도동,"경상북도 포항시 남구 송림로 3, 1층(송도동)",36.0300433,129.3760225,2019-08-07
동방양꼬치,,음식점,중화식,송도동,경상북도 포항시 남구 송도로 38(송도동),36.0333154,129.3750534,2019-08-07
뉴명성세탁소,,서비스,서비스,송도동,경상북도 포항시 남구 송도로 26-2(송도동),36.0334948,129.3738641,2019-08-07
무림테크,,"서비스,도소매",컴퓨터 및 주변기기,송도동,경상북도 포항시 남구 축항로 60(송도동),36.0293724,129.375009,2019-08-07
맛맛나식당,054-282-6007,음숙,분식,송도동,경상북도 포항시 남구 축항로72번길 12(송도동),36.0286602,129.3764455,2019-08-07
한마을유통,054-272-9950,도소매,"농축수산물,공산품,식품운반",송도동,경상북도 포항시 남구 축항로 110(송도동),36.0301454,129.3805349,2019-08-07
포항싱크산업,,소매,싱크,송도동,경상북도 포항시 남구 희망대로 1079(송도동),36.0270512,129.3786768,2019-08-07
전화꽃화원,054-275-9000,소매,생화,송도동,경상북도 포항시 남구 축항로 74(송도동),36.0295908,129.3764114,2019-08-07
제일슈퍼,054-273-0523,도소매,슈퍼,송도동,경상북도 포항시 남구 운하로24번길 5(송도동),36.0269671,129.376645,2019-08-07
드림약국,054-282-2334,도소매,의약품 및 의료용품,송도동,경상북도 포항시 남구 축항로 74(송도동),36.0295908,129.3764114,2019-08-07
카페노이,054-255-2696,휴게음식점,까페,송도동,경상북도 포항시 남구 송림로 83(송도동),36.0371129,129.3745016,2019-08-07
진진이용소,054-242-8289,서비스,미용,송도동,경상북도 포항시 남구 송림로32번길 12-1(송도동),36.0327127,129.3773484,2019-08-07
기원마트,054-244-1418,도소매,슈퍼,송도동,경상북도 포항시 남구 송림로80번길 6(송도동),36.036806,129.3753915,2019-08-07
현슈퍼,054-244-5597,도소매,슈퍼,송도동,경상북도 포항시 남구 송림로68번길 8(송도동),36.0357836,129.3758307,2019-08-07
부산건재상사,054-282-9400,도소매,건재,송도동,경상북도 포항시 남구 송림로 6(송도동),36.0302039,129.3764451,2019-08-07
송도주유소,054-272-5189,도소매,주유소,송도동,경상북도 포항시 남구 송림로 1(송도동),36.0298436,129.3759669,2019-08-07
희망제탕원,,음숙,추출가공식품,송도동,경상북도 포항시 남구 송림로79번길 29(송도동),36.0362969,129.3716311,2019-08-07
성모수퍼,054-275-9271,소매,식잡,송도동,경상북도 포항시 남구 송도로 11(송도동),36.0340267,129.372325,2019-08-07
명가맛집,,음숙,한식,송도동,경상북도 포항시 남구 송도로 31-1(송도동),36.033725,129.3745068,2019-08-07
헤어마끼,054-291-3881,서비스,미용,송도동,경상북도 포항시 남구 송도로 33(송도동),36.033708,129.3748071,2019-08-07
수양호(수양수산),,도소매,수산물,송도동,경상북도 포항시 남구 서동로 162(송도동),36.0393314,129.3759103,2019-08-07
엄지김밥,054-248-1161,음숙,기타음식점,송도동,경상북도 포항시 남구 송도로 22(송도동),36.033558,129.3734036,2019-08-07
효승건설,054-615-5888,건설업,"토목,방수,페인트",송도동,경상북도 포항시 남구 송림로 75-1(송도동),36.0365395,129.3747013,2019-08-07
카드마켓,054-278-2080,소매,식잡,송도동,경상북도 포항시 남구 송도로 12(송도동),36.0337351,129.3722894,2019-08-07
태진자원,,도소매,"고철,파지",송도동,경상북도 포항시 남구 송도로 30-1(송도동),36.0332951,129.3742559,2019-08-07
파라다이스관광㈜,054-275-3800,서비스,여행,송도동,경상북도 포항시 남구 송림로 27(송도동),36.0322285,129.3755641,2019-08-07
송림탕,054-278-2340,서비스,대중탕,송도동,경상북도 포항시 남구 축항로 60-3(송도동),36.0291869,129.3754041,2019-08-07
송도왕손짜장,,음식점업,음식점업,송도동,경상북도 포항시 남구 운하로 213(송도동),36.0418816,129.3734647,2019-08-07
솔향기기사식당,054-242-1490,음숙,한식,송도동,경상북도 포항시 남구 운하로 213(송도동),36.0418816,129.3734647,2019-08-07
송림촌,,음식점,한식,송도동,경상북도 포항시 남구 송림로 124(송도동),36.0406423,129.3741319,2019-08-07
최은정머리방,,서비스,"미용,피부관리",송도동,경상북도 포항시 남구 송도로 35-1(송도동),36.0336728,129.374967,2019-08-07
청송식당,054-242-4120,음식,한식,송도동,경상북도 포항시 남구 송림로79번길 30(송도동),36.0364848,129.3714498,2019-08-07
쭈야네,054-274-0334,음식,한식,송도동,경상북도 포항시 남구 희망대로 1256(송도동),36.0409281,129.3768875,2019-08-07
죽도닭발,054-244-5884,음식점,일반음식,송도동,경상북도 포항시 남구 운하로 138(송도동),36.0358135,129.371102,2019-08-07
대명식당,054-253-7776,음숙,일반음식,송도동,경상북도 포항시 남구 송도로 19(송도동),36.0339248,129.3732038,2019-08-07
상상돼지,054-231-9288,음식점,한식,송도동,경상북도 포항시 남구 송도로 9(송도동),36.0340754,129.3720448,2019-08-07
투다리,,음숙,음숙,송도동,"경상북도 포항시 남구 운하로 160, 119호(송도동)",36.0377781,129.3718495,2019-08-07
송초주막,,음숙,음식점,송도동,경상북도 포항시 남구 송림로 23(송도동),36.0317633,129.3755973,2019-08-07
진주회식당,054-251-0789,음숙,음식점,송도동,"경상북도 포항시 남구 송림로 79번길 11, 1층(송도동)",36.0365441,129.3735262,2019-08-07
송도마늘통닭,,음숙,기타주점,송도동,경상북도 포항시 남구 송림로 29(송도동),36.0324198,129.3755152,2019-08-07
왕돼지갈비식당,054-283-0645,음숙,한식,송도동,경상북도 포항시 남구 송도로 34(송도동),36.0333613,129.3747063,2019-08-07
소망미용상사,,도소매,미용재료,송도동,경상북도 포항시 남구 송림로 86(송도동),36.037343,129.3748228,2019-08-07
대우소방산업주식회사,054-275-3119,건설,소방공사,송도동,경상북도 포항시 남구 상공로 273(송도동),36.0238894,129.3757125,2019-08-07
박미경헤어아트,,서비스,미용업,송도동,경상북도 포항시 남구 축항로 86(송도동),36.0298067,129.3778816,2019-08-07
맛집식당,,음식점,한식,송도동,경상북도 포항시 남구 송림로 14(송도동),36.0309453,129.3762553,2019-08-07
창신삼겹살,054-252-9333,음식점,일반음식,송도동,"경상북도 포항시 남구 축항로 79-1, 1층(송도동)",36.0300201,129.3771716,2019-08-07
서울돼지갈비,054-252-7232,음숙,한식,송도동,경상북도 포항시 남구 축항로 91(송도동),36.0301499,129.3783691,2019-08-07
모모반점,,음식,중식,송도동,경상북도 포항시 남구 송림로79번길 3(송도동),36.036652,129.3743303,2019-08-07
신수정회식당,054-241-3434,음숙,한식,송도동,경상북도 포항시 남구 희망대로 1179-1(송도동),36.0345765,129.3800835,2019-08-07
천일건재,,소매,건재,송도동,경상북도 포항시 남구 송림로 30-1(송도동),36.0324881,129.375924,2019-08-07
태평양공인중개사무소,,서비스,공인중개사,송도동,경상북도 포항시 남구 송림로 26(송도동),36.0319981,129.3760482,2019-08-07
오성유통,,도소매,식잡,송도동,경상북도 포항시 남구 송도로 10-1(송도동),36.0337446,129.3721755,2019-08-07
합천국밥,,음식,한식,송도동,경상북도 포항시 남구 송도로 12(송도동),36.0337351,129.3722894,2019-08-07
안동약국,054-282-3035,소매,양약,송도동,경상북도 포항시 남구 송도로 10(송도동),36.0337393,129.3720378,2019-08-07
포항충무유통,,도소매,활어,송도동,경상북도 포항시 남구 희망대로 1265(송도동),36.0417413,129.3766207,2019-08-07
치킨이랑호프랑,054-278-4360,일반음식,한식,송도동,"경상북도 포항시 남구 축항로 72, 1층(송도동)",36.02957,129.3762548,2019-08-07
기장곰장어,054-277-3855,음숙,한식,해도동,경상북도 포항시 남구 해동로 98(해도동),36.0281802,129.3722678,2019-08-07
BELLACE(벨라스),054-282-1359,서비스,일반미용업,해도동,경상북도 포항시 남구 중앙로 91번길 8(해도동),36.0211826,129.3680727,2019-08-07
패스텔레콤,054-277-8703,도소매,통신기기,해도동,경상북도 포항시 남구 중앙로 103 (해도동),36.0222835,129.3683725,2019-08-07
신원,,소매,"의류,잡화,화장품",해도동,경상북도 포항시 남구 중앙로 77번길 5-6(해도동),36.0196299,129.3683974,2019-08-07
명성종합사무기,054-273-0124,도소매,"문구,사무기,컴퓨터",해도동,경상북도 포항시 남구 중앙로 66 (해도동),36.0190082,129.3699076,2019-08-07
삼광상사,054-281-7971,도소매,자동차부품,해도동,경상북도 포항시 남구 중앙로 36(해도동),36.0163749,129.3705704,2019-08-07
세웅인쇄,054-282-0066,제조,인쇄,해도동,경상북도 포항시 남구 중앙로 36-1 (해도동),36.0164938,129.3706025,2019-08-07
유한회사 신영상사,054-275-7707,"도소매,제조,건설","도소매,제조,건설",해도동,경상북도 포항시 남구 중앙로 22 (해도동),36.0152299,129.3707933,2019-08-07
경성횟집,,음숙,한식,해도동,경상북도 포항시 남구 중앙로 24-1(해도동),36.0154768,129.3709272,2019-08-07
포항종합상사,054-283-3598,도소매,"철만물,기계공구",해도동,경상북도 포항시 남구 중앙로 42-1 (해도동),36.0170926,129.3704786,2019-08-07
경원슈퍼,054-282-6332,도소매,슈퍼,해도동,경상북도 포항시 남구 문예로 152 번길 35-1(해도동),36.0150442,129.3714597,2019-08-07
명성카세차장,054-274-5955,서비스,"카센터,세차장",해도동,경상북도 포항시 남구 문예로 156(해도동),36.0180214,129.3709852,2019-08-07
경주천막공업사,054-275-5015,"도소매,서비스","천막,천막보수",해도동,경상북도 포항시 남구 중앙로 36(해도동),36.0163749,129.3705704,2019-08-07
송죽미용실,,서비스,미용,해도동,경상북도 포항시 남구 중앙로 28번길 1(해도동),36.0159086,129.3707938,2019-08-07
정원식당,054-278-8255,음식,한식,해도동,"경상북도 포항시 남구 중앙로 12번길 4, 1층 (해도동)",36.0142989,129.3714011,2019-08-07
한성광고,054-281-8811,"제조,건설","간판,광고물 제작",해도동,경상북도 포항시 남구 해동로 105(해도동) ,36.0287529,129.3717367,2019-08-07
예 경희한의원,054-275-7775,보건,보건,해도동,경상북도 포항시 남구 중앙로 134(해도동),36.0251747,129.3682827,2019-08-07
한국모터싸이클,054-272-5666,"서비스,도매","오토바이 수리,오토바이",해도동,경상북도 포항시 남구 중앙로 138(해도동),36.0254013,129.3681919,2019-08-07
SUN PC방,,서비스,서비스,해도동,경상북도 포항시 남구 중앙로 146 (해도동),36.0260286,129.3680568,2019-08-07
해도주차장,054-273-6001,운수,주차장 운영,해도동,경상북도 포항시 남구 중앙로 140 (해도동),36.0256434,129.3681366,2019-08-07
대박식당,054-281-8835,음숙,음식,해도동,"경상북도 포항시 남구 중앙로 158, 1층 (해도동)",36.0270561,129.3677901,2019-08-07
이경수치과의원,054-292-8689,보건,치과,해도동,"경상북도 포항시 남구 중앙로 148 ,2층 (해도동)",36.0262375,129.3680056,2019-08-07
해주꽃화원,054-272-0700,도소매,생화,해도동,경상북도 포항시 남구 상공로 239 (해도동),36.0232769,129.3718984,2019-08-07
김은경헤어라인,054-278-7873,서비스,미용업,해도동,경상북도 포항시 남구 상공로 239-35(해도동),36.0242777,129.3716288,2019-08-07
퀸소주방,,음숙,주점,해도동,경상북도 포항시 남구 해동로 67 (해도동),36.0253616,129.3726028,2019-08-07
대사관(대해점),,음식,,해도동,경상북도 포항시 남구 문예로 130 (해도동),36.0176788,129.3681325,2019-08-07
지음농장가시오가피헛개한방삼계탕오리,054-273-8450,"음숙,부동산","한식,임대업",해도동,경상북도 포항시 남구 중앙로 23-1(해도동),36.0152968,129.3701635,2019-08-07
해도수산,054-274-4985,도소매,수산물,해도동,경상북도 포항시 남구 희망대로 953(해도동),36.0167198,129.3731357,2019-08-07
한라전기철물,054-281-3278,도소매,전기,해도동,경상북도 포항시 남구 희망대로 965(해도동),36.0176757,129.3734262,2019-08-07
신일전자,054-283-0220,도매,가전,해도동,경상북도 포항시 남구 희망대로 957(해도동),36.0169344,129.3732289,2019-08-07
오대양무역유통,054-283-3836,도소매,식육,해도동,"경상북도 포항시 남구 희망대로 959,  101(해도동,오대상가)",36.0170724,129.3733046,2019-08-07
밀레니엄PC방,,서비스,PC방,해도동,경상북도 포항시 남구 문예로 132-1(해도동),36.0176295,129.3685252,2019-08-07
마이다스카클리닉,054-278-5188,음식,,해도동,경상북도 포항시 남구 중앙로 39(해도동),36.0167519,129.3699184,2019-08-07
오토스크린골프,054-256-7878,서비스,,해도동,경상북도 포항시 남구 포스코대로 426-2(해도동),36.013158,129.3683614,2019-08-07
어부가횟집,054-284-7744,음식,일반음식점,해도동,경상북도 포항시 남구 포스코대로 416(해도동),36.0137428,129.3673627,2019-08-07
㈜ 화성,,도소매,도소매,해도동,경상북도 포항시 남구 포스코대로 426(해도동),36.0134118,129.3682842,2019-08-07
동양건업,,"도매,건설","자기타일,실내인테리어",해도동,경상북도 포항시 남구 포스코대로 426-1(해도동),36.0132802,129.3682209,2019-08-07
리가스포월드,054-284-1006,서비스,체력단련장,해도동,경상북도 포항시 남구 중앙로 59(해도동),36.018295,129.3694756,2019-08-07
경동오토바이,,도소매,이륜차,해도동,경상북도 포항시 남구 희망대로 927(해도동),36.014479,129.3723065,2019-08-07
예천식당,054-283-0759,음숙,한식,해도동,경상북도 포항시 남구 희망대로 929(해도동),36.0145934,129.3723959,2019-08-07
봉자네,054-282-0828,일반음식점,소주방,해도동,경상북도 포항시 남구 중앙로 68번길 9 (해도동),36.0195087,129.3706057,2019-08-07
현보의료재단(해도요양병원),054-244-7582,보건,요양,해도동,경상북도 포항시 남구 중앙로 84 (해도동),36.0207014,129.3694812,2019-08-07
의료법인 해도의료재단(제일마디요양병원),054-273-0001,보건,보건,해도동,경상북도 포항시 남구 중앙로 98(해도동),36.0218847,129.3692608,2019-08-07
대해한의원,054-283-8366,보건,한의원,해도동,경상북도 포항시 남구 중앙로 58(해도동),36.0183165,129.3700511,2019-08-07
우영이엔티,054-276-1701,건설,,해도동,경상북도 포항시 남구 중앙로 40 (해도동),36.016628,129.3706048,2019-08-07
소망꽃화원,054-277-2000,도소매,,흥해읍,경상북도 포항시 북구 흥해읍 대련리 332,36.0455459,129.3265815,2019-08-07
흥일자동차정비,054-283-6199,서비스,정비,해도동,경상북도 포항시 남구 희망대로 921(해도동),36.0139352,129.3718692,2019-08-07
지현쪽갈비,,음식,한식,해도동,"경상북도 포항시 남구 상공로 254, 1층(해도동) ",36.0231903,129.373568,2019-08-07
포항운하스케치,,"음식,소매","커피 외, 마트",해도동,경상북도 포항시 남구 해동로96번길 20(해도동),36.0281937,129.3742099,2019-08-07
미래디지털노래연습장,,서비스,노래연습장,해도동,경상북도 포항시 남구 해동로 48-1(해도동),36.0237047,129.3734293,2019-08-07
외갓집농산,,도소매,농산물,해도동,경상북도 포항시 남구 해동로 74(해도동),36.0259303,129.3729516,2019-08-07
열쇠911광고,,소매,열쇠 및 광고물,해도동,경상북도 포항시 남구 해동로 80(해도동),36.0264966,129.372772,2019-08-07
장승비빔밥,054-275-4200,음숙,한식,해도동,"경상북도 포항시 남구 축항로 35, 1층(해도동)",36.0292384,129.3722173,2019-08-07
오렌지헤어,,서비스,일반미용업,해도동,경상북도 포항시 남구 해동로 86(해도동),36.0270198,129.3725609,2019-08-07
몽골양갈비,,음식,한식,해도동,경상북도 포항시 남구 희망대로 1015(해도동),36.0219642,129.3755946,2019-08-07
종합자전거,,도소매,자전거,해도동,경상북도 포항시 남구 해동로84번길 4(해도동),36.0268542,129.3728468,2019-08-07
미래진열장,,"소매,제조","앵글,유리,알미늄",해도동,경상북도 포항시 남구 해동로 48-1(해도동),36.0237047,129.3734293,2019-08-07
동해정식당,,음숙,한식,해도동,경상북도 포항시 남구 해동로 26-3(해도동),36.0217998,129.3741021,2019-08-07
여러분이용소,,서비스,미용,해도동,경상북도 포항시 남구 해동로 66-1(해도동),36.0253019,129.3730244,2019-08-07
엔피씨(NPC)방,,서비스,PC방,해도동,"경상북도 포항시 남구 해동로 84 , 2층(해도동)",36.0268041,129.3726497,2019-08-07
펌앤컷헤어샵,054-277-3996,서비스,일반미용업,해도동,경상북도 포항시 남구 해동로 74(해도동),36.0259303,129.3729516,2019-08-07
불러봐노래연습장,,서비스,노래연습장,해도동,경상북도 포항시 남구 해동로 22-1(해도동),36.0214324,129.3740071,2019-08-07
물빛,,음식,호프주점업,해도동,경상북도 포항시 남구 해동로 26-1(해도동),36.021768,129.3739184,2019-08-07
최가네마을,,음숙,한식,해도동,경상북도 포항시 남구 축항로 35 (해도동),36.0292384,129.3722173,2019-08-07
수민쭈꾸미,,음식,한식,해도동,경상북도 포항시 남구 해동로 40-1(해도동),36.0229545,129.3736237,2019-08-07
보경수산식당,,도소매,수산물,해도동,경상북도 포항시 남구 축항로 36(해도동),36.0289854,129.3723285,2019-08-07
수연,,음식,호프,해도동,경상북도 포항시 남구 해동로 94(해도동),36.0276684,129.3724016,2019-08-07
네발두발,054-272-4202,음숙,한식,해도동,경상북도 포항시 남구 해동로 90-1(해도동),36.0273737,129.3724846,2019-08-07
땅땅치킨,,음식,치킨,해도동,"경상북도 포항시 남구 해동로 66-1, 1층(해도동)",36.0253019,129.3730244,2019-08-07
오케이콜마트,,도소매,슈퍼,해도동,경상북도 포항시 남구 해동로 13-2 (해도동),36.0207149,129.3738354,2019-08-07
천마노래연습장,054-283-6821,서비스,노래연습장,해도동,경상북도 포항시 남구 문예로 170(해도동),36.0184082,129.3723858,2019-08-07
OK할인마트,,도소매,슈퍼,해도동,"경상북도 포항시 남구 중앙로 72, 106호 (해도동)",36.0197011,129.3698412,2019-08-07
돼지삼형제,,음식,한식,해도동,경상북도 포항시 남구 문예로 120 (해도동),36.0173632,129.3673098,2019-08-07
아이엔지,054-281-4837,소매,의류,해도동,경상북도 포항시 남구 중앙로 122번길 18(해도동),36.0241743,129.3702123,2019-08-07
등정형외과,054-284-1141,보건,외과,해도동,경상북도 포항시 남구 중앙로 102 (해도동),36.0223354,129.3689818,2019-08-07
아이나비포항점,054-284-1106,도소매,"자동차용품,네비게이션",해도동,"경상북도 포항시 남구 포스코대로 440-1, 1층(해도동)",36.0125801,129.3696147,2019-08-07
대해이솝,,소매,의류,해도동,경상북도 포항시 남구 중앙로 67번길 14(해도동),36.0190971,129.3680479,2019-08-07
우진식당,,음식,한식,해도동,"경상북도 포항시 남구 중앙로 134번길 23 , 1층 (해도동)",36.0255544,129.3705542,2019-08-07
R-마트 해도점,054-282-5051,도소매,슈퍼,해도동,경상북도 포항시 남구 상공로234번길  8(해도동),36.0221968,129.3714183,2019-08-07
동남식당,054-274-8589,음식,한식,해도동,"경상북도 포항시 남구 중앙로 68번길 6, 1층(해도동)",36.0192493,129.3701387,2019-08-07
화신열기 ㈜,,"건설,도소매,서비스","건설,도소매,서비스",해도동,경상북도 포항시 남구 축항로 10 (해도동),36.0285429,129.3696455,2019-08-07
대구활어,054-277-6125,소매,활어,해도동,경상북도 포항시 남구 중앙로 134번길 30-13(해도동),36.0251104,129.3716135,2019-08-07
파마의집,,서비스,미용,해도동,경상북도 포항시 남구 상공로246번길 12(해도동),36.0221068,129.3728422,2019-08-07
까만여우,,소매,의류,해도동,경상북도 포항시 남구 중앙로 122번길 22 (해도동),36.0242595,129.3707226,2019-08-07
왕십리숯불촌,,음숙,한식,해도동,경상북도 포항시 남구 해동로 65-1 (해도동),36.0252734,129.3725481,2019-08-07
복지참기름,,제조,참기름,해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
대해웰빙마트,054-277-0405,도소매,슈퍼,해도동,경상북도 포항시 남구 문예로 139 (해도동),36.0182419,129.3691973,2019-08-07
오이소홍게무한리필,054-284-5245,음식,일반음식점,해도동,"경상북도 포항시 남구 문예로 137, 1층 103호 (해도동)",36.0181659,129.3688598,2019-08-07
환호횟집,,음식,한식,해도동,"경상북도 포항시 남구 중앙로 134번길 39, 1층(해도동)",36.0258364,129.3723757,2019-08-07
대해카클리닉,,서비스,,해도동,경상북도 포항시 남구 문예로126번길 6-1(해도동),36.0171813,129.3675605,2019-08-07
GS25해도형산로점,054-281-3928,도소매,"편의점,담배",해도동,경상북도 포항시 남구 중앙로 29(해도동),36.0157669,129.3701708,2019-08-07
㈜ 티엠종합건축사사무소,,서비스,서비스,해도동,"경상북도 포항시 남구 중앙로 154, 1014 (해도동, 학산타워빌딩)",36.0268145,129.3679978,2019-08-07
서울양행,054-273-9189,도소매,,해도동,"경상북도 포항시 중앙로 134번길 27, 동해시장 16,17호(해도동)",36.0258068,129.3709535,2019-08-07
우리동네회식당,,음숙,한식,해도동,경상북도 포항시 남구 중앙로 122번길 31 (해도동),36.0246285,129.3717655,2019-08-07
하림생닭,054-273-2676,소매,생닭,해도동,경상북도 포항시 남구 중앙로 134번길 30-14 (해도동),36.0250854,129.3713831,2019-08-07
대원모터스,,"서비스,도소매","자동차정비,타이어",해도동,경상북도 포항시 남구 희망대로 877 (해도동),36.0117717,129.3685303,2019-08-07
홍대,,음식,한식,해도동,경상북도 포항시 남구 중앙로 25 (해도동),36.0154723,129.370225,2019-08-07
강남치킨,,음식,치킨,해도동,경상북도 포항시 남구 중앙로 29 (해도동),36.0157669,129.3701708,2019-08-07
한성식당,,음숙,한식,해도동,경상북도 포항시 남구 희망대로 879-3 (해도동),36.0120951,129.3686849,2019-08-07
명가국밥,,음식,한식,해도동,경상북도 포항시 남구 중앙로 25 (해도동),36.0154723,129.370225,2019-08-07
투다리(해도2점),,음식,한식,해도동,경상북도 포항시 남구 문예로 178 (해도동),36.0185801,129.3733598,2019-08-07
영해식당,054-275-6649,음식,한식,해도동,경상북도 포항시 남구 중앙로 77번길 5-1 (해도동),36.0198381,129.3686437,2019-08-07
